,meter2
1347108120,0.0000000000e+00
1347108180,0.0000000000e+00
1347108240,0.0000000000e+00
1347108300,0.0000000000e+00
1347108360,0.0000000000e+00
1347108420,0.0000000000e+00
1347108480,0.0000000000e+00
1347108540,0.0000000000e+00
1347108600,0.0000000000e+00
1347108660,0.0000000000e+00
1347108720,0.0000000000e+00
1347108780,0.0000000000e+00
1347108840,0.0000000000e+00
1347108900,0.0000000000e+00
1347108960,0.0000000000e+00
1347109020,0.0000000000e+00
1347109080,0.0000000000e+00
1347109140,0.0000000000e+00
1347109200,0.0000000000e+00
1347109260,0.0000000000e+00
1347109320,0.0000000000e+00
1347109380,0.0000000000e+00
1347109440,0.0000000000e+00
1347109500,0.0000000000e+00
1347109560,0.0000000000e+00
1347109620,0.0000000000e+00
1347109680,0.0000000000e+00
1347109740,0.0000000000e+00
1347109800,0.0000000000e+00
1347109860,0.0000000000e+00
1347109920,0.0000000000e+00
1347109980,0.0000000000e+00
1347110040,0.0000000000e+00
1347110100,0.0000000000e+00
1347110160,0.0000000000e+00
1347110220,0.0000000000e+00
1347110280,0.0000000000e+00
1347110340,0.0000000000e+00
1347110400,0.0000000000e+00
1347110460,0.0000000000e+00
1347110520,0.0000000000e+00
1347110580,0.0000000000e+00
1347110640,0.0000000000e+00
1347110700,0.0000000000e+00
1347110760,0.0000000000e+00
1347110820,0.0000000000e+00
1347110880,0.0000000000e+00
1347110940,0.0000000000e+00
1347111000,0.0000000000e+00
1347111060,0.0000000000e+00
1347111120,0.0000000000e+00
1347111180,0.0000000000e+00
1347111240,0.0000000000e+00
1347111300,0.0000000000e+00
1347111360,0.0000000000e+00
1347111420,0.0000000000e+00
1347111480,0.0000000000e+00
1347111540,0.0000000000e+00
1347111600,0.0000000000e+00
1347111660,0.0000000000e+00
1347111720,0.0000000000e+00
1347111780,0.0000000000e+00
1347111840,0.0000000000e+00
1347111900,0.0000000000e+00
1347111960,0.0000000000e+00
1347112020,0.0000000000e+00
1347112080,0.0000000000e+00
1347112140,0.0000000000e+00
1347112200,0.0000000000e+00
1347112260,0.0000000000e+00
1347112320,0.0000000000e+00
1347112380,0.0000000000e+00
1347112440,0.0000000000e+00
1347112500,0.0000000000e+00
1347112560,0.0000000000e+00
1347112620,0.0000000000e+00
1347112680,0.0000000000e+00
1347112740,0.0000000000e+00
1347112800,0.0000000000e+00
1347112860,0.0000000000e+00
1347112920,0.0000000000e+00
1347112980,0.0000000000e+00
1347113040,0.0000000000e+00
1347113100,0.0000000000e+00
1347113160,0.0000000000e+00
1347113220,0.0000000000e+00
1347113280,0.0000000000e+00
1347113340,0.0000000000e+00
1347113400,0.0000000000e+00
1347113460,0.0000000000e+00
1347113520,0.0000000000e+00
1347113580,0.0000000000e+00
1347113640,0.0000000000e+00
1347113700,0.0000000000e+00
1347113760,0.0000000000e+00
1347113820,0.0000000000e+00
1347113880,0.0000000000e+00
1347113940,0.0000000000e+00
1347114000,0.0000000000e+00
1347114060,0.0000000000e+00
1347114120,0.0000000000e+00
1347114180,0.0000000000e+00
1347114240,0.0000000000e+00
1347114300,0.0000000000e+00
1347114360,4.4167955000e+00
1347114420,3.8557175150e+02
1347114480,0.0000000000e+00
1347114540,0.0000000000e+00
1347114600,0.0000000000e+00
1347114660,0.0000000000e+00
1347114720,0.0000000000e+00
1347114780,0.0000000000e+00
1347114840,0.0000000000e+00
1347114900,0.0000000000e+00
1347114960,0.0000000000e+00
1347115020,0.0000000000e+00
1347115080,0.0000000000e+00
1347115140,0.0000000000e+00
1347115200,0.0000000000e+00
1347115260,0.0000000000e+00
1347115320,0.0000000000e+00
1347115380,0.0000000000e+00
1347115440,0.0000000000e+00
1347115500,0.0000000000e+00
1347115560,0.0000000000e+00
1347115620,0.0000000000e+00
1347115680,0.0000000000e+00
1347115740,0.0000000000e+00
1347115800,0.0000000000e+00
1347115860,0.0000000000e+00
1347115920,0.0000000000e+00
1347115980,0.0000000000e+00
1347116040,0.0000000000e+00
1347116100,0.0000000000e+00
1347116160,0.0000000000e+00
1347116220,0.0000000000e+00
1347116280,0.0000000000e+00
1347116340,0.0000000000e+00
1347116400,0.0000000000e+00
1347116460,0.0000000000e+00
1347116520,0.0000000000e+00
1347116580,0.0000000000e+00
1347116640,0.0000000000e+00
1347116700,0.0000000000e+00
1347116760,0.0000000000e+00
1347116820,0.0000000000e+00
1347116880,0.0000000000e+00
1347116940,0.0000000000e+00
1347117000,0.0000000000e+00
1347117060,0.0000000000e+00
1347117120,0.0000000000e+00
1347117180,0.0000000000e+00
1347117240,0.0000000000e+00
1347117300,0.0000000000e+00
1347117360,0.0000000000e+00
1347117420,0.0000000000e+00
1347117480,0.0000000000e+00
1347117540,0.0000000000e+00
1347117600,0.0000000000e+00
1347117660,0.0000000000e+00
1347117720,0.0000000000e+00
1347117780,0.0000000000e+00
1347117840,0.0000000000e+00
1347117900,0.0000000000e+00
1347117960,0.0000000000e+00
1347118020,0.0000000000e+00
1347118080,0.0000000000e+00
1347118140,0.0000000000e+00
1347118200,0.0000000000e+00
1347118260,0.0000000000e+00
1347118320,0.0000000000e+00
1347118380,0.0000000000e+00
1347118440,0.0000000000e+00
1347118500,0.0000000000e+00
1347118560,0.0000000000e+00
1347118620,0.0000000000e+00
1347118680,0.0000000000e+00
1347118740,0.0000000000e+00
1347118800,0.0000000000e+00
1347118860,0.0000000000e+00
1347118920,0.0000000000e+00
1347118980,0.0000000000e+00
1347119040,0.0000000000e+00
1347119100,0.0000000000e+00
1347119160,0.0000000000e+00
1347119220,0.0000000000e+00
1347119280,0.0000000000e+00
1347119340,0.0000000000e+00
1347119400,0.0000000000e+00
1347119460,0.0000000000e+00
1347119520,0.0000000000e+00
1347119580,0.0000000000e+00
1347119640,0.0000000000e+00
1347119700,0.0000000000e+00
1347119760,0.0000000000e+00
1347119820,0.0000000000e+00
1347119880,0.0000000000e+00
1347119940,0.0000000000e+00
1347120000,0.0000000000e+00
1347120060,0.0000000000e+00
1347120120,0.0000000000e+00
1347120180,0.0000000000e+00
1347120240,0.0000000000e+00
1347120300,0.0000000000e+00
1347120360,0.0000000000e+00
1347120420,0.0000000000e+00
1347120480,0.0000000000e+00
1347120540,0.0000000000e+00
1347120600,0.0000000000e+00
1347120660,0.0000000000e+00
1347120720,0.0000000000e+00
1347120780,0.0000000000e+00
1347120840,0.0000000000e+00
1347120900,0.0000000000e+00
1347120960,0.0000000000e+00
1347121020,0.0000000000e+00
1347121080,0.0000000000e+00
1347121140,0.0000000000e+00
1347121200,0.0000000000e+00
1347121260,0.0000000000e+00
1347121320,0.0000000000e+00
1347121380,0.0000000000e+00
1347121440,0.0000000000e+00
1347121500,0.0000000000e+00
1347121560,0.0000000000e+00
1347121620,0.0000000000e+00
1347121680,0.0000000000e+00
1347121740,0.0000000000e+00
1347121800,0.0000000000e+00
1347121860,0.0000000000e+00
1347121920,0.0000000000e+00
1347121980,0.0000000000e+00
1347122040,0.0000000000e+00
1347122100,0.0000000000e+00
1347122160,0.0000000000e+00
1347122220,0.0000000000e+00
1347122280,0.0000000000e+00
1347122340,0.0000000000e+00
1347122400,0.0000000000e+00
1347122460,0.0000000000e+00
1347122520,0.0000000000e+00
1347122580,0.0000000000e+00
1347122640,0.0000000000e+00
1347122700,0.0000000000e+00
1347122760,0.0000000000e+00
1347122820,0.0000000000e+00
1347122880,0.0000000000e+00
1347122940,0.0000000000e+00
1347123000,0.0000000000e+00
1347123060,0.0000000000e+00
1347123120,0.0000000000e+00
1347123180,0.0000000000e+00
1347123240,0.0000000000e+00
1347123300,0.0000000000e+00
1347123360,0.0000000000e+00
1347123420,0.0000000000e+00
1347123480,0.0000000000e+00
1347123540,0.0000000000e+00
1347123600,0.0000000000e+00
1347123660,0.0000000000e+00
1347123720,0.0000000000e+00
1347123780,0.0000000000e+00
1347123840,0.0000000000e+00
1347123900,0.0000000000e+00
1347123960,0.0000000000e+00
1347124020,0.0000000000e+00
1347124080,0.0000000000e+00
1347124140,0.0000000000e+00
1347124200,0.0000000000e+00
1347124260,0.0000000000e+00
1347124320,0.0000000000e+00
1347124380,0.0000000000e+00
1347124440,0.0000000000e+00
1347124500,0.0000000000e+00
1347124560,0.0000000000e+00
1347124620,0.0000000000e+00
1347124680,0.0000000000e+00
1347124740,0.0000000000e+00
1347124800,0.0000000000e+00
1347124860,0.0000000000e+00
1347124920,0.0000000000e+00
1347124980,0.0000000000e+00
1347125040,0.0000000000e+00
