,total
1347108120,3.0000000000e+01
1347108180,3.0000000000e+01
1347108240,3.0013721500e+01
1347108300,6.0000000000e+01
1347108360,5.9985343000e+01
1347108420,3.0126443500e+01
1347108480,4.4990393750e+01
1347108540,4.4990393750e+01
1347108600,5.9940072500e+01
1347108660,3.0000000000e+01
1347108720,3.0000000000e+01
1347108780,3.0000000000e+01
1347108840,4.5021649000e+01
1347108900,4.5021649000e+01
1347108960,3.0172222500e+01
1347109020,2.9957694000e+01
1347109080,8.7387000000e-02
1347109140,5.9834889500e+01
1347109200,3.0000000000e+01
1347109260,3.0000000000e+01
1347109320,3.0000000000e+01
1347109380,3.0000000000e+01
1347109440,3.0179072500e+01
1347109500,5.9933396500e+01
1347109560,1.4965578500e+01
1347109620,1.4965578500e+01
1347109680,5.9699625000e+01
1347109740,7.6975000000e-02
1347109800,3.0000000000e+01
1347109860,3.0083781000e+01
1347109920,4.4958560500e+01
1347109980,4.4958560500e+01
1347110040,2.7952800000e-01
1347110100,5.9314277000e+01
1347110160,7.0755900000e-01
1347110220,8.9887092500e+01
1347110280,9.0114485000e+01
1347110340,9.0114485000e+01
1347110400,1.2000000000e+02
1347110460,1.2000000000e+02
1347110520,1.2000000000e+02
1347110580,1.1987324850e+02
1347110640,9.0000000000e+01
1347110700,9.0000000000e+01
1347110760,9.0000000000e+01
1347110820,9.0133038500e+01
1347110880,1.1985835650e+02
1347110940,8.9955516000e+01
1347111000,7.5068900000e+01
1347111060,7.5068900000e+01
1347111120,6.0276689000e+01
1347111180,8.9707144000e+01
1347111240,3.0153006000e+01
1347111300,5.9690631000e+01
1347111360,3.1540200000e-01
1347111420,5.9881109500e+01
1347111480,2.9837347500e+01
1347111540,1.6904850000e-01
1347111600,3.0174080500e+01
1347111660,6.0000000000e+01
1347111720,5.9825008500e+01
1347111780,3.0000000000e+01
1347111840,3.0000000000e+01
1347111900,3.0000000000e+01
1347111960,3.0000000000e+01
1347112020,3.0000000000e+01
1347112080,3.0000000000e+01
1347112140,2.9949461000e+01
1347112200,3.1049150000e-01
1347112260,3.0000000000e+01
1347112320,3.0000000000e+01
1347112380,3.0000000000e+01
1347112440,3.0000000000e+01
1347112500,3.0000000000e+01
1347112560,3.0000000000e+01
1347112620,2.9529427000e+01
1347112680,4.7014500000e-01
1347112740,5.9759826000e+01
1347112800,2.9756922500e+01
1347112860,1.6017500000e-01
1347112920,5.9499269000e+01
1347112980,3.0252012000e+01
1347113040,3.0252012000e+01
1347113100,3.6108700000e-01
1347113160,3.0000000000e+01
1347113220,3.0000000000e+01
1347113280,3.0000000000e+01
1347113340,3.0000000000e+01
1347113400,3.0000000000e+01
1347113460,3.0000000000e+01
1347113520,3.0263001000e+01
1347113580,6.0000000000e+01
1347113640,6.0000000000e+01
1347113700,6.0276862500e+01
1347113760,9.0000000000e+01
1347113820,8.9719687000e+01
1347113880,6.0288992000e+01
1347113940,8.9852893500e+01
1347114000,6.0000000000e+01
1347114060,6.0000000000e+01
1347114120,6.0000000000e+01
1347114180,6.0418691500e+01
1347114240,8.9691605500e+01
1347114300,6.0000000000e+01
1347114360,8.3540602000e+01
1347114420,2.2261086930e+03
1347114480,3.0000000000e+01
1347114540,3.0000000000e+01
1347114600,3.1327994000e+01
1347114660,1.4968034700e+02
1347114720,1.1932660800e+02
1347114780,6.0689711000e+01
1347114840,1.1930776200e+02
1347114900,6.0000000000e+01
1347114960,6.0000000000e+01
1347115020,6.0000000000e+01
1347115080,6.0000000000e+01
1347115140,6.0000000000e+01
1347115200,6.0356043500e+01
1347115260,8.9529108500e+01
1347115320,5.9637054500e+01
1347115380,3.0453881000e+01
1347115440,9.0000000000e+01
1347115500,8.9629326500e+01
1347115560,6.0368062500e+01
1347115620,9.0000000000e+01
1347115680,9.0000000000e+01
1347115740,8.9836770000e+01
1347115800,6.0772818000e+01
1347115860,1.1884190400e+02
1347115920,3.0507077000e+01
1347115980,5.9603772000e+01
1347116040,2.9487949500e+01
1347116100,5.2773100000e-01
1347116160,5.8974848000e+01
1347116220,6.6027650000e-01
1347116280,3.0000000000e+01
1347116340,3.0000000000e+01
1347116400,3.0419058000e+01
1347116460,6.0000000000e+01
1347116520,5.9567297000e+01
1347116580,3.1736694000e+01
1347116640,1.4912223100e+02
